"date","a1524","a2534","a3544","a4554","a5564","a65"
"201501",16,21,20,17,12,4
"201502",13,20,20,18,14,4
"201503",14,21,22,15,12,3
"201504",16,26,24,17,12,4
"201505",15,24,21,18,12,3
"201506",14,23,23,16,12,3
"201507",14,27,20,15,12,2
"201508",12,23,20,18,14,4
"201509",12,20,20,22,11,5
"201510",12,19,19,17,8,3
"201511",11,21,22,19,8,2
"201512",10,21,16,17,9,2
"201601",11,19,17,19,11,4
"201602",12,19,18,16,10,3
"201603",17,18,20,15,10,4
"201604",15,27,21,16,11,4
"201605",15,23,20,18,10,4
"201606",15,24,23,16,10,4
"201607",10,25,19,12,12,3
"201608",12,23,18,13,12,3
"201609",9,18,18,15,12,5
"201610",10,18,18,15,9,4
"201611",8,21,20,17,9,4
"201612",10,18,16,14,9,3
"201701",9,18,18,16,11,4
"201702",10,18,17,15,10,4
"201703",14,20,16,14,10,3
"201704",16,21,18,17,11,4
"201705",16,18,19,21,11,5
"201706",13,20,18,16,11,7
"201707",12,20,16,11,10,5
"201708",11,18,17,14,12,2
"201709",11,16,19,17,13,3
"201710",8,17,17,17,10,4
"201711",10,15,18,16,10,3
"201712",13,15,15,16,9,4
"201801",9,17,14,15,7,2
"201802",9,16,16,13,10,3
"201803",10,18,15,13,10,3
"201804",11,18,14,14,12,3
"201805",10,16,14,13,10,4
"201806",12,21,13,13,10,2
"201807",11,19,12,13,11,3
"201808",10,17,12,16,12,3
"201809",8,16,14,16,11,4
"201810",7,15,14,14,10,3
"201811",7,19,15,14,10,2
"201812",8,16,13,14,10,2
"201901",8,16,16,17,10,3
"201902",8,14,14,13,11,3
"201903",10,18,12,15,10,3
"201904",12,19,14,16,11,4
"201905",11,17,15,15,10,2
"201906",12,14,13,14,8,4
"201907",11,14,14,12,8,3
"201908",10,16,12,13,9,3
"201909",12,15,15,15,10,3
"201910",13,15,12,14,9,3
"201911",10,13,11,14,9,4
"201912",8,11,12,13,10,3
"202001",8,18,13,14,11,3
"202002",9,18,10,15,9,2
"202003",12,16,13,16,8,3
"202004",14,18,13,16,11,4
"202005",14,18,15,18,11,4
"202006",11,21,17,18,9,3
"202007",14,20,15,17,12,4
"202008",14,25,15,18,13,5
"202009",12,22,14,19,14,3
"202010",11,22,12,19,13,4
"202011",11,16,13,16,11,4
"202012",11,18,12,18,15,5
"202101",13,19,11,19,14,4
"202102",12,21,14,18,11,5
"202103",14,16,13,16,11,5
"202104",13,17,16,16,13,6
"202105",13,18,19,19,12,5
"202106",13,18,16,21,13,5
"202107",11,17,13,15,12,5
"202108",12,17,16,15,13,4
"202109",12,16,17,17,14,3
"202110",9,16,12,18,14,4
"202111",9,14,14,18,12,4
"202112",9,16,12,15,12,4
