"date","a1524","a2534","a3544","a4554","a5564","a65"
"201501",17,37,27,25,25,11
"201502",16,34,29,21,25,12
"201503",18,33,30,22,27,12
"201504",16,30,27,20,27,13
"201505",16,31,26,22,25,12
"201506",16,30,27,24,24,12
"201507",15,32,28,24,24,10
"201508",17,29,27,23,27,11
"201509",17,30,31,23,23,13
"201510",16,30,27,22,24,11
"201511",15,35,24,22,21,10
"201512",14,35,23,23,23,10
"201601",15,31,26,25,24,10
"201602",16,29,27,23,25,14
"201603",20,26,28,21,25,13
"201604",17,30,25,20,25,13
"201605",16,26,25,23,21,14
"201606",15,25,25,22,21,11
"201607",16,27,26,18,24,11
"201608",17,28,28,21,25,11
"201609",18,27,25,21,21,14
"201610",17,31,20,21,19,12
"201611",13,32,23,20,20,10
"201612",13,32,26,20,21,11
"201701",14,29,23,21,21,14
"201702",11,29,24,20,19,11
"201703",13,24,25,19,20,11
"201704",15,23,24,20,18,12
"201705",15,27,20,24,22,12
"201706",14,21,21,20,21,11
"201707",15,29,24,20,21,9
"201708",15,30,20,20,18,11
"201709",16,21,24,21,20,9
"201710",14,22,21,19,22,10
"201711",10,25,21,20,19,11
"201712",9,25,19,21,17,12
"201801",9,24,16,21,16,9
"201802",13,23,19,17,15,11
"201803",15,26,20,17,16,9
"201804",13,24,21,19,18,13
"201805",12,17,19,17,13,13
"201806",12,19,21,18,17,10
"201807",12,24,21,18,20,10
"201808",14,23,17,18,18,10
"201809",13,19,18,18,16,10
"201810",12,22,19,19,19,10
"201811",11,23,21,17,18,10
"201812",9,22,19,18,17,10
"201901",9,24,17,15,17,13
"201902",11,23,18,15,15,11
"201903",14,26,21,19,15,11
"201904",13,20,19,19,17,11
"201905",14,20,18,19,14,10
"201906",12,22,18,19,15,11
"201907",9,20,16,19,15,14
"201908",13,19,17,18,16,12
"201909",18,20,17,17,18,10
"201910",15,22,15,20,16,10
"201911",10,22,15,17,15,10
"201912",9,24,15,16,15,9
"202001",10,23,16,16,16,10
"202002",14,21,17,15,17,13
"202003",13,26,19,19,18,12
"202004",18,26,20,19,17,14
"202005",19,25,22,20,20,15
"202006",15,24,23,22,20,14
"202007",16,25,22,22,19,12
"202008",17,26,22,22,19,12
"202009",15,28,21,23,23,14
"202010",18,29,24,24,25,15
"202011",13,28,23,24,24,11
"202012",15,29,19,23,22,9
"202101",15,27,20,22,20,13
"202102",15,24,20,23,19,13
"202103",16,26,19,20,19,14
"202104",17,32,19,22,24,15
"202105",15,27,20,25,24,14
"202106",14,28,19,22,22,14
"202107",15,26,20,24,21,13
"202108",15,25,22,23,20,13
"202109",15,24,18,24,19,13
"202110",15,23,16,23,19,13
"202111",16,24,19,22,20,11
"202112",14,19,21,18,19,12
